tau,domain,fit_scope,method,metric,value,raw_value,delta_vs_raw,n_test,n_quarters
1mo,Weather,per_domain,platt,ece,0.15386585424944962,0.15023529411764702,0.0036305601318026015,85.0,2.0
1mo,Weather,per_domain,isotonic,ece,0.15049612536636756,0.15023529411764702,0.0002608312487205333,85.0,2.0
1mo,Weather,per_domain,binning10,ece,0.15707118929755967,0.15023529411764702,0.006835895179912649,85.0,2.0
1mo,Weather,per_domain,venn_abers,ece,0.13355261188084858,0.15023529411764702,-0.016682682236798446,85.0,2.0
1mo,Weather,per_domain,raw,log_loss,0.5361789777815285,0.5361789777815285,0.0,85.0,2.0
1mo,Weather,per_domain,platt,log_loss,0.5454815646821387,0.5361789777815285,0.009302586900610255,85.0,2.0
1mo,Weather,per_domain,isotonic,log_loss,0.7912204555216694,0.5361789777815285,0.25504147774014096,85.0,2.0
1mo,Weather,per_domain,binning10,log_loss,0.563958101253344,0.5361789777815285,0.027779123471815548,85.0,2.0
1mo,Weather,per_domain,venn_abers,log_loss,0.5259502236745996,0.5361789777815285,-0.010228754106928806,85.0,2.0
1mo,ALL,pooled,raw,brier,0.14006915959907476,0.14006915959907476,0.0,1297.0,2.0
1mo,ALL,pooled,platt,brier,0.14083915643697786,0.14006915959907476,0.000769996837903103,1297.0,2.0
1mo,ALL,pooled,isotonic,brier,0.14371105835771636,0.14006915959907476,0.0036418987586415985,1297.0,2.0
1mo,ALL,pooled,binning10,brier,0.14345029911083015,0.14006915959907476,0.0033811395117553933,1297.0,2.0
1mo,ALL,pooled,venn_abers,brier,0.14353226803759972,0.14006915959907476,0.003463108438524959,1297.0,2.0
1mo,ALL,pooled,raw,ece,0.04457208943716257,0.04457208943716257,0.0,1297.0,2.0
1mo,ALL,pooled,platt,ece,0.045444501577911633,0.04457208943716257,0.0008724121407490612,1297.0,2.0
1mo,ALL,pooled,isotonic,ece,0.05379809373192758,0.04457208943716257,0.009226004294765007,1297.0,2.0
1mo,ALL,pooled,binning10,ece,0.04911422306250654,0.04457208943716257,0.004542133625343968,1297.0,2.0
1mo,ALL,pooled,venn_abers,ece,0.05208545702135035,0.04457208943716257,0.0075133675841877745,1297.0,2.0
1mo,ALL,pooled,raw,log_loss,0.4385550543027219,0.4385550543027219,0.0,1297.0,2.0
1mo,ALL,pooled,platt,log_loss,0.4398884032813858,0.4385550543027219,0.0013333489786638841,1297.0,2.0
1mo,ALL,pooled,isotonic,log_loss,0.46826944193786585,0.4385550543027219,0.029714387635143946,1297.0,2.0
1mo,ALL,pooled,binning10,log_loss,0.44701499776419257,0.4385550543027219,0.008459943461470665,1297.0,2.0
1mo,ALL,pooled,venn_abers,log_loss,0.44471268453531915,0.4385550543027219,0.006157630232597244,1297.0,2.0
